INDICATOR|CODE
Enrolment in secondary. Grade 2. Female|UIS_E_23_GPV_G2_F
Enrolment in secondary. Grade 2. Total|UIS_E_23_GPV_G2
Enrolment in secondary. Grade 3. Female|UIS_E_23_GPV_G3_F
Enrolment in secondary. Grade 3. Total|UIS_E_23_GPV_G3
Enrolment in secondary. Grade 4. Female|UIS_E_23_GPV_G4_F
Enrolment in secondary. Grade 4. Total|UIS_E_23_GPV_G4
Enrolment in secondary. Grade 5. Female|UIS_E_23_GPV_G5_F
Enrolment in secondary. Grade 5. Total|UIS_E_23_GPV_G5
Enrolment in secondary. Grade 6. Female|UIS_E_23_GPV_G6_F
Enrolment in secondary. Grade 6. Total|UIS_E_23_GPV_G6
Enrolment in secondary. Grade 7. Female|UIS_E_23_GPV_G7_F
Enrolment in secondary. Grade 7. Total|UIS_E_23_GPV_G7
Enrolment in secondary. Grade 8. Female|UIS_E_23_GPV_G8_F
Enrolment in secondary. Grade 8. Total|UIS_E_23_GPV_G8
Enrolment in secondary. Grade 9. Female|UIS_E_23_GPV_G9_F
Enrolment in secondary. Grade 9. Total|UIS_E_23_GPV_G9
Enrolment in services. Tertiary.  Female|UIS_E_56_F800_F
Enrolment in services. Tertiary. Total|UIS_E_56_F800
Enrolment in social sciences, business and law. Tertiary.  Female|UIS_E_56_F300_F
Enrolment in social sciences, business and law. Tertiary. Total|UIS_E_56_F300
Enrolment in total secondary. Private|UIS_E_23_PR
Enrolment in total secondary. Public. All programmes. Female|UIS_E_23_PU_F
Enrolment in total secondary. Public. All programmes. Total|UIS_E_23_PU
Enrolment in total secondary. Public. General programmes. Female|UIS_E_23_GPV_PU_F
Enrolment in total secondary. Public. General programmes. Total|UIS_E_23_GPV_PU
Enrolment in total secondary. Public. Technical/vocational programmes. Female|UIS_E_23_V_PU_F
Enrolment in total secondary. Public. Technical/vocational programmes. Total|UIS_E_23_V_PU
Enrolment in unspecified programmes. Tertiary.  Female|UIS_E_56_FUK_F
Enrolment in unspecified programmes. Tertiary. Total|UIS_E_56_FUK
Enrolment in upper secondary. Public and private. All programmes. Female|UIS_E_3_F
Enrolment in upper secondary. Public and private. All programmes. Total|UIS_E_3
Enrolment in upper secondary. Public and private. General programmes. Female|UIS_E_3_GPV_F
Enrolment in upper secondary. Public and private. General programmes. Total|UIS_E_3_GPV
Enrolment in upper secondary. Public and private. Technical/vocational programmes. Female|UIS_E_3_V_F
Enrolment in upper secondary. Public and private. Technical/vocational programmes. Total|UIS_E_3_V
Enrolment in upper secondary. Public. All programmes. Female|UIS_E_3_PU_F
Enrolment in upper secondary. Public. All programmes. Total|UIS_E_3_PU
Enrolment in upper secondary. Public. General programmes. Female|UIS_E_3_GPV_PU_F
Enrolment in upper secondary. Public. General programmes. Total|UIS_E_3_GPV_PU
Enrolment in upper secondary. Public. Technical/vocational programmes. Female|UIS_E_3_V_PU_F
Enrolment in upper secondary. Public. Technical/vocational programmes. Total|UIS_E_3_V_PU
Entrance age of 3A upper secondary|UIS_THAGE_3_A_GPV
Entrance age of 4A post-secondary|UIS_THAGE_4_A_GPV
Entrance age of pre-primary|UIS_THAGE_0
Expected gross primary graduation ratio. Female|UIS_EGGR_1_F
Expected gross primary graduation ratio. Male|UIS_EGGR_1_M
Expected gross primary graduation ratio. Total|UIS_EGGR_1
Expected primary completion rate  (% of population at theoretical entrance age)|SE_PRM_EPCR_ZS
Expected primary completion rate, female (% of population at theoretical entrance age)|SE_PRM_EPCR_FE_ZS
Expected primary completion rate, male (% of population at theoretical entrance age)|SE_PRM_EPCR_MA_ZS
Female share of graduates in agriculture (%, tertiary)|SE_TER_GRAD_FE_AG_ZS
Female share of graduates in education (%, tertiary)|SE_TER_GRAD_FE_ED_ZS
Female share of graduates in engineering, manufacturing and construction (%, tertiary)|SE_TER_GRAD_FE_EN_ZS
Female share of graduates in health (%, tertiary)|SE_TER_GRAD_FE_HL_ZS
Female share of graduates in humanities and arts (%, tertiary)|SE_TER_GRAD_FE_HU_ZS
Female share of graduates in science (%, tertiary)|SE_TER_GRAD_FE_SC_ZS
Female share of graduates in services (%, tertiary)|SE_TER_GRAD_FE_SV_ZS
Female share of graduates in social science, business and law (%, tertiary)|SE_TER_GRAD_FE_SS_ZS
Female share of graduates in unknown or unspecified fields (%, tertiary)|SE_TER_GRAD_FE_OT_ZS
Gender parity index for % of trained teachers.  Lower secondary|UIS_TRTP_2_GPI
Gender parity index for % of trained teachers.  Pre-primary|UIS_TRTP_0_GPI
Gender parity index for % of trained teachers.  Primary|UIS_TRTP_1_GPI
Gender parity index for % of trained teachers.  Secondary|UIS_TRTP_23_GPI
Gender parity index for % of trained teachers.  Upper secondary|UIS_TRTP_3_GPI
Gender parity index for % repeaters. All grades. Primary|UIS_REPP_1_GPI
Gender parity index for adjusted net enrolment rate.  Primary|UIS_NERT_1_GPI
Gender parity index for adjusted net intake rate. Primary|UIS_NIRA_1_GPI
Gender parity index for adult literacy rate|UIS_LR_AG15T99_GPI
Gender parity index for effective transition rate. Primary (ISCED 1) to secondary (ISCED 2). General programmes|UIS_TRANRA_23_GPV_GPI
Gender parity index for elderly literacy rate|UIS_LR_AG65_GPI
Gender parity index for expected gross primary graduation ratio|UIS_EGGR_1_GPI
Gender parity index for expected primary completion rate|UIS_AIRE_1_GLAST_GPI
Gender parity index for gross enrolment ratio.  All levels combined (except pre-primary)|UIS_GER_1T6_GPI
Gender parity index for gross enrolment ratio.  Lower secondary.  All programmes|UIS_GER_2_GPI
Gender parity index for gross enrolment ratio.  Pre-primary|UIS_GER_0_GPI
Gender parity index for gross enrolment ratio.  Upper secondary.  All programmes|UIS_GER_3_GPI
Gender parity index for gross graduation ratio. Tertiary (ISCED 5A) first degree|UIS_GGR_5_A_GPI
Gender parity index for gross intake ratio to the last grade of primary|UIS_AIR_1_GLAST_GPI
Gender parity index for gross intake ratio. Primary|UIS_AIR_1_GPI
Gender parity index for gross primary graduation ratio|UIS_GGR_1_GPI
Gender parity index for net enrolment rate.   Primary|UIS_NER_1_GPI
Gender parity index for net enrolment rate.   Secondary|UIS_NER_23_GPI
Gender parity index for net enrolment rate.  Pre-primary|UIS_NER_0_GPI
Gender parity index for net intake rate.  Primary.|UIS_NIR_1_GPI
Gender parity index for new entrants to primary education with ECCE experience|UIS_ECDP_1_GPI
Gender parity index for school life expectancy.  Primary to tertiary.|UIS_SLE_1T6_GPI
Gender parity index for school life expectancy.  Tertiary.|UIS_SLE_56_GPI
Gender parity index for school life expectancy. Primary to secondary.|UIS_SLE_123_GPI
Gender parity index for survival rate to grade 4|UIS_SR_1_G4_GPI
Gender parity index for survival rate to grade 5|UIS_SR_1_G5_GPI
Gender parity index for survival rate to last grade of primary|UIS_SR_1_GLAST_GPI
Gender parity index for transition rate, primary to secondary, general programmes|UIS_TRANR_23_GPV_GPI
Girls enrollment share (%), tertiary|SE_TER_ENRL_FE_ZS
Girls graduates share (%), tertiary|SE_TER_GRAD_FE_ZS
GPI for gross enrollment rate, primary|GER_PRI_GPI_GENR_ZS
GPI for gross enrollment rate,secondary|GER_SEC_GPI_GENR_ZS
GPI for net enrollment rate, primary|GER_PRI_GPI_NENR_ZS
GPI for net enrollment rate, secondary|GER_SEC_GPI_NENR_ZS
Graduates in agriculture (% of total graduates, tertiary)|SE_TER_GRAD_AG_ZS
Graduates in agriculture, female (% of total female graduates, tertiary)|SE_TER_GRAD_AG_FE_ZS
Graduates in agriculture. Tertiary. Female|UIS_G_56_F600_DCOUNT_F
Graduates in agriculture. Tertiary. Total|UIS_G_56_F600_DCOUNT
Graduates in education (% of total graduates, tertiary)|SE_TER_GRAD_ED_ZS
Graduates in education, female (% of total female graduates, tertiary)|SE_TER_GRAD_ED_FE_ZS
Graduates in education. Tertiary. Female|UIS_G_56_F140_DCOUNT_F
Graduates in education. Tertiary. Total|UIS_G_56_F140_DCOUNT
Graduates in engineering, manufacturing and construction (% of total graduates, tertiary)|SE_TER_GRAD_EN_ZS
Graduates in engineering, manufacturing and construction, female (% of total female graduates, tertiary)|SE_TER_GRAD_EN_FE_ZS
Graduates in engineering, manufacturing and construction. Tertiary. Female|UIS_G_56_F500_DCOUNT_F
Graduates in engineering, manufacturing and construction. Tertiary. Total|UIS_G_56_F500_DCOUNT
Graduates in general programmes. Tertiary. Female|UIS_G_56_FUK2_DCOUNT_F
Graduates in general programmes. Tertiary. Total|UIS_G_56_FUK2_DCOUNT
Graduates in health (% of total graduates, tertiary)|SE_TER_GRAD_HL_ZS
Graduates in health and welfare. Tertiary. Female|UIS_G_56_F700_DCOUNT_F
Graduates in health and welfare. Tertiary. Total|UIS_G_56_F700_DCOUNT
Graduates in health, female (% of total female graduates, tertiary)|SE_TER_GRAD_HL_FE_ZS
Graduates in humanities and arts (% of total graduates, tertiary)|SE_TER_GRAD_HU_ZS
Graduates in humanities and arts, female (% of total female graduates, tertiary)|SE_TER_GRAD_HU_FE_ZS
Graduates in humanities and arts. Tertiary. Female|UIS_G_56_F200_DCOUNT_F
Graduates in humanities and arts. Tertiary. Total|UIS_G_56_F200_DCOUNT
Graduates in science (% of total graduates, tertiary)|SE_TER_GRAD_SC_ZS
Graduates in science, female (% of total female graduates, tertiary)|SE_TER_GRAD_SC_FE_ZS
Graduates in science. Tertiary. Female|UIS_G_56_F400_DCOUNT_F
Graduates in science. Tertiary. Total|UIS_G_56_F400_DCOUNT
Graduates in services (% of total graduates, tertiary)|SE_TER_GRAD_SV_ZS
Graduates in services, female (% of total female graduates, tertiary)|SE_TER_GRAD_SV_FE_ZS
Graduates in services. Tertiary. Female|UIS_G_56_F800_DCOUNT_F
Graduates in services. Tertiary. Total|UIS_G_56_F800_DCOUNT
Graduates in social science, business, law (% of total graduates, tertiary)|SE_TER_GRAD_SS_ZS
Graduates in social science, business, law, female (% of total female graduates, tertiary)|SE_TER_GRAD_SS_FE_ZS
Graduates in social sciences, business and law. Tertiary. Female|UIS_G_56_F300_DCOUNT_F
Graduates in social sciences, business and law. Tertiary. Total|UIS_G_56_F300_DCOUNT
Graduates in unknown or unspecified fields (% of total graduates, tertiary)|SE_TER_GRAD_OT_ZS
Graduates in unknown or unspecified fields, female (% of total female graduates, tertiary)|SE_TER_GRAD_OT_FE_ZS
Graduates in unspecified programmes. Tertiary. Female|UIS_G_56_FUK_DCOUNT_F
Graduates in unspecified programmes. Tertiary. Total|UIS_G_56_FUK_DCOUNT
Graduates, tertiary, female|SE_TER_GRAD_FE
Graduates, tertiary, total|SE_TER_GRAD
Graduation age population. Primary. Female|UIS_GAP_1_F
Graduation age population. Primary. Male|UIS_GAP_1_M
Graduation age population. Primary. Total|UIS_GAP_1
Gross enrollment rate (%), lower secondary, female|SE_SEC_ENRR_LO_FE
Gross enrollment rate (%), lower secondary, male|SE_SEC_ENRR_LO_MA
Gross enrollment rate (%), lower secondary, total|SE_SEC_ENRR_LO
Gross enrollment rate (%), upper secondary, total|SE_SEC_ENRR_UP
Gross enrollment rate, primary, female|GER_PRI_GENR_FE_ZS
Gross enrollment rate, primary, male|GER_PRI_GENR_MA_ZS
Gross enrollment rate, primary, total|GER_PRI_GENR_ZS
Gross enrollment rate, secondary, female|GER_SEC_GENR_FE_ZS
Gross enrollment rate, secondary, male|GER_SEC_GENR_MA_ZS
Gross enrollment rate, secondary, total|GER_SEC_GENR_ZS
Gross enrolment ratio.  All levels combined (except pre-primary).  Female|UIS_GER_1T6_F
Gross enrolment ratio.  All levels combined (except pre-primary).  Male|UIS_GER_1T6_M
Gross enrolment ratio.  All levels combined (except pre-primary).  Total|SE_TOT_ENRR
Gross enrolment ratio.  Primary & Secondary combined.  Female|UIS_GER_123_F
Gross enrolment ratio.  Primary & Secondary combined.  Male|UIS_GER_123_M
Gross enrolment ratio. Primary & Secondary combined. Total|UIS_GER_123
Gross enrolment ratio. Upper secondary. All programmes. Female|SE_SEC_ENRR_UP_FE
Gross enrolment ratio. Upper secondary. All programmes. Male|SE_SEC_ENRR_UP_MA
Gross entry ratio to lower secondary. General programmes. Female|UIS_AIR_2_GPV_F
Gross entry ratio to lower secondary. General programmes. Male|UIS_AIR_2_GPV_M
Gross entry ratio to lower secondary. General programmes. Total|UIS_AIR_2_GPV
Gross lower secondary graduation ratio. All programmes. Female|UIS_GGR_2_F
Gross lower secondary graduation ratio. All programmes. Male|UIS_GGR_2_M
Gross lower secondary graduation ratio. All programmes. Total|UIS_GGR_2
Gross lower secondary graduation ratio. General programmes. Female|UIS_GGR_2_GPV_F
Gross lower secondary graduation ratio. General programmes. Male|UIS_GGR_2_GPV_M
Gross lower secondary graduation ratio. General programmes. Total|UIS_GGR_2_GPV
Gross outbound enrolment ratio. Tertiary|UIS_GOER_56
Gross primary graduation ratio, female|SE_PRM_CMPL_FE_ZS
Gross primary graduation ratio, male|SE_PRM_CMPL_MA_ZS
Gross primary graduation ratio, total|SE_PRM_CMPL_ZS
Gross tertiary graduation ratio (first degree), female|SE_TER_CMPL_FE_ZS
Gross tertiary graduation ratio (first degree), male|SE_TER_CMPL_MA_ZS
Gross tertiary graduation ratio (first degree), total|SE_TER_CMPL_ZS
Inbound mobility rate.  Total|UIS_MSEP_56
International (or internationally mobile) students. Tertiary. % Female|UIS_FEP_56_FOREIGN
International (or internationally mobile) students. Tertiary. Total|UIS_E_56_FOREIGN
LLECE: 3rd grade students at the highest level of proficiency on the mathematics scale (%), female|LO_LLECE_MAT3_HIG_FE
LLECE: 3rd grade students at the highest level of proficiency on the mathematics scale (%), male|LO_LLECE_MAT3_HIG_MA
LLECE: 3rd grade students at the highest level of proficiency on the mathematics scale (%), total|LO_LLECE_MAT3_HIG
LLECE: 3rd grade students at the highest level of proficiency on the reading scale (%), female|LO_LLECE_REA3_HIG_FE
LLECE: 3rd grade students at the highest level of proficiency on the reading scale (%), male|LO_LLECE_REA3_HIG_MA
LLECE: 3rd grade students at the highest level of proficiency on the reading scale (%), total|LO_LLECE_REA3_HIG
LLECE: 3rd grade students at the lowest level of proficiency on the mathematics scale (%), female|LO_LLECE_MAT3_LOW_FE
LLECE: 3rd grade students at the lowest level of proficiency on the mathematics scale (%), male|LO_LLECE_MAT3_LOW_MA
LLECE: 3rd grade students at the lowest level of proficiency on the mathematics scale (%), total|LO_LLECE_MAT3_LOW
LLECE: 3rd grade students at the lowest level of proficiency on the reading scale (%), female|LO_LLECE_REA3_LOW_FE
LLECE: 3rd grade students at the lowest level of proficiency on the reading scale (%), male|LO_LLECE_REA3_LOW_MA
LLECE: 3rd grade students at the lowest level of proficiency on the reading scale (%), total|LO_LLECE_REA3_LOW
LLECE: 6th grade students at the highest level of proficiency on the mathematics scale (%), female|LO_LLECE_MAT6_HIG_FE
LLECE: 6th grade students at the highest level of proficiency on the mathematics scale (%), male|LO_LLECE_MAT6_HIG_MA
LLECE: 6th grade students at the highest level of proficiency on the mathematics scale (%), total|LO_LLECE_MAT6_HIG
LLECE: 6th grade students at the highest level of proficiency on the reading scale (%), female|LO_LLECE_REA6_HIG_FE
LLECE: 6th grade students at the highest level of proficiency on the reading scale (%), male|LO_LLECE_REA6_HIG_MA
LLECE: 6th grade students at the highest level of proficiency on the reading scale (%), total|LO_LLECE_REA6_HIG
LLECE: 6th grade students at the highest level of proficiency on the science scale (%), female|LO_LLECE_SCI6_HIG_FE
LLECE: 6th grade students at the highest level of proficiency on the science scale (%), male|LO_LLECE_SCI6_HIG_MA
LLECE: 6th grade students at the highest level of proficiency on the science scale (%), total|LO_LLECE_SCI6_HIG
LLECE: 6th grade students at the lowest level of proficiency on the mathematics scale (%), female|LO_LLECE_MAT6_LOW_FE
LLECE: 6th grade students at the lowest level of proficiency on the mathematics scale (%), male|LO_LLECE_MAT6_LOW_MA
LLECE: 6th grade students at the lowest level of proficiency on the mathematics scale (%), total|LO_LLECE_MAT6_LOW
LLECE: 6th grade students at the lowest level of proficiency on the reading scale (%), female|LO_LLECE_REA6_LOW_FE
LLECE: 6th grade students at the lowest level of proficiency on the reading scale (%), male|LO_LLECE_REA6_LOW_MA
LLECE: 6th grade students at the lowest level of proficiency on the reading scale (%), total|LO_LLECE_REA6_LOW
LLECE: 6th grade students at the lowest level of proficiency on the science scale (%), female|LO_LLECE_SCI6_LOW_FE
LLECE: 6th grade students at the lowest level of proficiency on the science scale (%), male|LO_LLECE_SCI6_LOW_MA
LLECE: 6th grade students at the lowest level of proficiency on the science scale (%), total|LO_LLECE_SCI6_LOW
LLECE:Mean performance on the mathematics scale for 3rd grade students, female|LO_LLECE_MAT3_FE
LLECE:Mean performance on the mathematics scale for 3rd grade students, male|LO_LLECE_MAT3_MA
LLECE:Mean performance on the mathematics scale for 3rd grade students, total|LO_LLECE_MAT3
LLECE:Mean performance on the mathematics scale for 4th grade students, total|LO_LLECE_MAT4
LLECE:Mean performance on the mathematics scale for 6th grade students, female|LO_LLECE_MAT6_FE
LLECE:Mean performance on the mathematics scale for 6th grade students, male|LO_LLECE_MAT6_MA
LLECE:Mean performance on the mathematics scale for 6th grade students, total|LO_LLECE_MAT6
LLECE:Mean performance on the reading scale for 3rd grade students, female|LO_LLECE_REA3_FE
LLECE:Mean performance on the reading scale for 3rd grade students, male|LO_LLECE_REA3_MA
LLECE:Mean performance on the reading scale for 3rd grade students, total|LO_LLECE_REA3
LLECE:Mean performance on the reading scale for 4th grade students, total|LO_LLECE_REA4
LLECE:Mean performance on the reading scale for 6th grade students, female|LO_LLECE_REA6_FE
LLECE:Mean performance on the reading scale for 6th grade students, male|LO_LLECE_REA6_MA
LLECE:Mean performance on the reading scale for 6th grade students, total|LO_LLECE_REA6
LLECE:Mean performance on the science scale for 6th grade students, female|LO_LLECE_SCI6_FE
LLECE:Mean performance on the science scale for 6th grade students, male|LO_LLECE_SCI6_MA
LLECE:Mean performance on the science scale for 6th grade students, total|LO_LLECE_SCI6
mean years of schooling, 15-19, female|MYS_MEA_YSCH_1519_FE
mean years of schooling, 15-19, male|MYS_MEA_YSCH_1519_MA
mean years of schooling, 15-19, total|MYS_MEA_YSCH_1519_MF
mean years of schooling, 15-44, female|MYS_MEA_YSCH_1544_FE
mean years of schooling, 15-44, male|MYS_MEA_YSCH_1544_MA
mean years of schooling, 15-44, total|MYS_MEA_YSCH_1544_MF
mean years of schooling, 15-64, female|MYS_MEA_YSCH_1564_FE
mean years of schooling, 15-64, male|MYS_MEA_YSCH_1564_MA
mean years of schooling, 15-64, total|MYS_MEA_YSCH_1564_MF
mean years of schooling, 15+, female|MYS_MEA_YSCH_15UP_FE
mean years of schooling, 15+, male|MYS_MEA_YSCH_15UP_MA
mean years of schooling, 15+, total|MYS_MEA_YSCH_15UP_MF
mean years of schooling, 20 - 24, female|MYS_MEA_YSCH_2024_FE
mean years of schooling, 20 - 24, male|MYS_MEA_YSCH_2024_MA
mean years of schooling, 20 - 24, total|MYS_MEA_YSCH_2024_MF
mean years of schooling, 25 - 29, female|MYS_MEA_YSCH_2529_FE
mean years of schooling, 25 - 29, male|MYS_MEA_YSCH_2529_MA
mean years of schooling, 25 - 29, total|MYS_MEA_YSCH_2529_MF
mean years of schooling, 25+, female|MYS_MEA_YSCH_25UP_FE
mean years of schooling, 25+, male|MYS_MEA_YSCH_25UP_MA
mean years of schooling, 25+, total|MYS_MEA_YSCH_25UP_MF
mean years of schooling, 30 - 34, female|MYS_MEA_YSCH_3034_FE
mean years of schooling, 30 - 34, male|MYS_MEA_YSCH_3034_MA
mean years of schooling, 30 - 34, total|MYS_MEA_YSCH_3034_MF
mean years of schooling, 35-39, female|MYS_MEA_YSCH_3539_FE
mean years of schooling, 35-39, male|MYS_MEA_YSCH_3539_MA
mean years of schooling, 35-39, total|MYS_MEA_YSCH_3539_MF
mean years of schooling, 40-44, female|MYS_MEA_YSCH_4044_FE
mean years of schooling, 40-44, male|MYS_MEA_YSCH_4044_MA
mean years of schooling, 40-44, total|MYS_MEA_YSCH_4044_MF
mean years of schooling, 45-49, female|MYS_MEA_YSCH_4549_FE
mean years of schooling, 45-49, male|MYS_MEA_YSCH_4549_MA
mean years of schooling, 45-49, total|MYS_MEA_YSCH_4549_MF
mean years of schooling, 45-64, female|MYS_MEA_YSCH_4564_FE
mean years of schooling, 45-64, male|MYS_MEA_YSCH_4564_MA
mean years of schooling, 45-64, total|MYS_MEA_YSCH_4564_MF
mean years of schooling, 50-54, female|MYS_MEA_YSCH_5054_FE
mean years of schooling, 50-54, male|MYS_MEA_YSCH_5054_MA
mean years of schooling, 50-54, total|MYS_MEA_YSCH_5054_MF
mean years of schooling, 55-59, female|MYS_MEA_YSCH_5559_FE
mean years of schooling, 55-59, male|MYS_MEA_YSCH_5559_MA
mean years of schooling, 55-59, total|MYS_MEA_YSCH_5559_MF
mean years of schooling, 60-64, female|MYS_MEA_YSCH_6064_FE
mean years of schooling, 60-64, male|MYS_MEA_YSCH_6064_MA
mean years of schooling, 60-64, total|MYS_MEA_YSCH_6064_MF
mean years of schooling, 65-69, female|MYS_MEA_YSCH_6569_FE
mean years of schooling, 65-69, male|MYS_MEA_YSCH_6569_MA
mean years of schooling, 65-69, total|MYS_MEA_YSCH_6569_MF
mean years of schooling, 65+, female|MYS_MEA_YSCH_65UP_FE
mean years of schooling, 65+, male|MYS_MEA_YSCH_65UP_MA
mean years of schooling, 65+, total|MYS_MEA_YSCH_65UP_MF
mean years of schooling, 70-74, female|MYS_MEA_YSCH_7074_FE
mean years of schooling, 70-74, male|MYS_MEA_YSCH_7074_MA
mean years of schooling, 70-74, total|MYS_MEA_YSCH_7074_MF
mean years of schooling, 75-79, female|MYS_MEA_YSCH_7579_FE
mean years of schooling, 75-79, male|MYS_MEA_YSCH_7579_MA
mean years of schooling, 75-79, total|MYS_MEA_YSCH_7579_MF
mean years of schooling, 80+, female|MYS_MEA_YSCH_80UP_FE
mean years of schooling, 80+, male|MYS_MEA_YSCH_80UP_MA
mean years of schooling, 80+, total|MYS_MEA_YSCH_80UP_MF
MICS: Average years of schooling by age group. Age 15-19|HH_MICS_YRS_1519
MICS: Average years of schooling by age group. Age 15-19. Female|HH_MICS_YRS_1519_F
MICS: Average years of schooling by age group. Age 15-19. Male|HH_MICS_YRS_1519_M
MICS: Average years of schooling by age group. Age 15-19. Quintile 1|HH_MICS_YRS_1519_Q1
MICS: Average years of schooling by age group. Age 15-19. Quintile 2|HH_MICS_YRS_1519_Q2
MICS: Average years of schooling by age group. Age 15-19. Quintile 3|HH_MICS_YRS_1519_Q3
MICS: Average years of schooling by age group. Age 15-19. Quintile 4|HH_MICS_YRS_1519_Q4
MICS: Average years of schooling by age group. Age 15-19. Quintile 5|HH_MICS_YRS_1519_Q5
MICS: Average years of schooling by age group. Age 15-19. Rural|HH_MICS_YRS_1519_R
MICS: Average years of schooling by age group. Age 15-19. Urban|HH_MICS_YRS_1519_U
MICS: Gini coefficient of average years of schooling. Age 15+|HH_MICS_YRS_15UP_GIN
MICS: Gini coefficient of average years of schooling. Age 15+. Female|HH_MICS_YRS_15UP_GIN_F
MICS: Gini coefficient of average years of schooling. Age 15+. Male|HH_MICS_YRS_15UP_GIN_M
MICS: Gini coefficient of average years of schooling. Age 15+. Quintile 1|HH_MICS_YRS_15UP_GIN_Q1
MICS: Gini coefficient of average years of schooling. Age 15+. Quintile 2|HH_MICS_YRS_15UP_GIN_Q2
MICS: Gini coefficient of average years of schooling. Age 15+. Quintile 3|HH_MICS_YRS_15UP_GIN_Q3
MICS: Gini coefficient of average years of schooling. Age 15+. Quintile 4|HH_MICS_YRS_15UP_GIN_Q4
MICS: Gini coefficient of average years of schooling. Age 15+. Quintile 5|HH_MICS_YRS_15UP_GIN_Q5
MICS: Gini coefficient of average years of schooling. Age 15+. Rural|HH_MICS_YRS_15UP_GIN_R
MICS: Gini coefficient of average years of schooling. Age 15+. Urban|HH_MICS_YRS_15UP_GIN_U
MICS: Gross attendance rate. Post Secondary|HH_MICS_GAR_456
MICS: Gross attendance rate. Post Secondary. Female|HH_MICS_GAR_456_F
MICS: Gross attendance rate. Post Secondary. Male|HH_MICS_GAR_456_M
MICS: Gross attendance rate. Post Secondary. Quintile 1|HH_MICS_GAR_456_Q1
MICS: Gross attendance rate. Post Secondary. Quintile 2|HH_MICS_GAR_456_Q2
MICS: Gross attendance rate. Post Secondary. Quintile 3|HH_MICS_GAR_456_Q3
MICS: Gross attendance rate. Post Secondary. Quintile 4|HH_MICS_GAR_456_Q4
MICS: Gross attendance rate. Post Secondary. Quintile 5|HH_MICS_GAR_456_Q5
MICS: Gross attendance rate. Post Secondary. Rural|HH_MICS_GAR_456_R
MICS: Gross attendance rate. Post Secondary. Urban|HH_MICS_GAR_456_U
MICS: Net attendance rate. Primary|HH_MICS_NAR_1
MICS: Net attendance rate. Primary. Female|HH_MICS_NAR_1_F
MICS: Net attendance rate. Primary. Male|HH_MICS_NAR_1_M
MICS: Net attendance rate. Primary. Quintile 1|HH_MICS_NAR_1_Q1
MICS: Net attendance rate. Primary. Quintile 2|HH_MICS_NAR_1_Q2
MICS: Net attendance rate. Primary. Quintile 3|HH_MICS_NAR_1_Q3
MICS: Net attendance rate. Primary. Quintile 4|HH_MICS_NAR_1_Q4
MICS: Net attendance rate. Primary. Quintile 5|HH_MICS_NAR_1_Q5
MICS: Net attendance rate. Primary. Rural|HH_MICS_NAR_1_R
MICS: Net attendance rate. Primary. Urban|HH_MICS_NAR_1_U
MICS: Net attendance rate. Secondary|HH_MICS_NAR_23
MICS: Net attendance rate. Secondary. Female|HH_MICS_NAR_23_F
MICS: Net attendance rate. Secondary. Male|HH_MICS_NAR_23_M
MICS: Net attendance rate. Secondary. Quintile 1|HH_MICS_NAR_23_Q1
MICS: Net attendance rate. Secondary. Quintile 2|HH_MICS_NAR_23_Q2
MICS: Net attendance rate. Secondary. Quintile 3|HH_MICS_NAR_23_Q3
MICS: Net attendance rate. Secondary. Quintile 4|HH_MICS_NAR_23_Q4
MICS: Net attendance rate. Secondary. Quintile 5|HH_MICS_NAR_23_Q5
MICS: Net attendance rate. Secondary. Rural|HH_MICS_NAR_23_R
MICS: Net attendance rate. Secondary. Urban|HH_MICS_NAR_23_U
MICS: Net intake rate for the first grade of primary education|HH_MICS_NIR_1
MICS: Net intake rate for the first grade of primary education. Female|HH_MICS_NIR_1_F
MICS: Net intake rate for the first grade of primary education. Male|HH_MICS_NIR_1_M
MICS: Net intake rate for the first grade of primary education. Quintile 1|HH_MICS_NIR_1_Q1
MICS: Net intake rate for the first grade of primary education. Quintile 2|HH_MICS_NIR_1_Q2
MICS: Net intake rate for the first grade of primary education. Quintile 3|HH_MICS_NIR_1_Q3
MICS: Net intake rate for the first grade of primary education. Quintile 4|HH_MICS_NIR_1_Q4
MICS: Net intake rate for the first grade of primary education. Quintile 5|HH_MICS_NIR_1_Q5
MICS: Net intake rate for the first grade of primary education. Rural|HH_MICS_NIR_1_R
MICS: Net intake rate for the first grade of primary education. Urban|HH_MICS_NIR_1_U
MICS: Primary completion rate|HH_MICS_PCR
MICS: Primary completion rate. Female|HH_MICS_PCR_F
MICS: Primary completion rate. Male|HH_MICS_PCR_M
MICS: Primary completion rate. Quintile 1|HH_MICS_PCR_Q1
MICS: Primary completion rate. Quintile 2|HH_MICS_PCR_Q2
MICS: Primary completion rate. Quintile 3|HH_MICS_PCR_Q3
MICS: Primary completion rate. Quintile 4|HH_MICS_PCR_Q4
MICS: Primary completion rate. Quintile 5|HH_MICS_PCR_Q5
MICS: Primary completion rate. Rural|HH_MICS_PCR_R
MICS: Primary completion rate. Urban|HH_MICS_PCR_U
MICS: Proportion of out-of-school. Primary|HH_MICS_OOS_1
MICS: Proportion of out-of-school. Primary. Female|HH_MICS_OOS_1_F
MICS: Proportion of out-of-school. Primary. Male|HH_MICS_OOS_1_M
MICS: Proportion of out-of-school. Primary. Quintile 1|HH_MICS_OOS_1_Q1
